Tanggal,Produk,lstm_forecasted_revenue,xgboost_predicted_class
2024-12-31,VIU Premium,1436131.8094525635,Good for Sale
2025-01-01,VIU Premium,1533658.7919721603,Good for Sale
2025-01-02,VIU Premium,1565108.9135706723,Good for Sale
2025-01-03,VIU Premium,1568454.2849859893,Good for Sale
2025-01-04,VIU Premium,1558993.5174188316,Good for Sale
2025-01-05,VIU Premium,1544054.635403514,Good for Sale
2025-01-06,VIU Premium,1526917.8850716352,Good for Sale
2025-01-07,VIU Premium,1509083.0181004405,Good for Sale
2025-01-08,VIU Premium,1491224.1691835523,Good for Sale
2025-01-09,VIU Premium,1473641.1126421392,Good for Sale
2025-01-10,VIU Premium,1456462.8889454603,Good for Sale
2025-01-11,VIU Premium,1439739.4421455562,Good for Sale
2025-01-12,VIU Premium,1423485.8434651792,Good for Sale
2025-01-13,VIU Premium,1407701.2128329277,Good for Sale
2025-01-14,VIU Premium,1392377.5195972621,Good for Sale
2025-01-15,VIU Premium,1377503.7628656626,Good for Sale
2025-01-16,VIU Premium,1363068.1716831326,Good for Sale
2025-01-17,VIU Premium,1349058.0950232744,Good for Sale
2025-01-18,VIU Premium,1335461.3218953907,Good for Sale
2025-01-19,VIU Premium,1322265.421290934,Good for Sale
2025-01-20,VIU Premium,1309458.8422727585,Good for Sale
2025-01-21,VIU Premium,1297029.9238947928,Good for Sale
2025-01-22,VIU Premium,1284967.5552555919,Good for Sale
2025-01-23,VIU Premium,1273260.9554804862,Good for Sale
2025-01-24,VIU Premium,1261899.5637126565,Good for Sale
2025-01-25,VIU Premium,1250873.2591309845,Good for Sale
2025-01-26,VIU Premium,1240172.0309232771,Good for Sale
2025-01-27,VIU Premium,1229786.308313042,Good for Sale
2025-01-28,VIU Premium,1219706.740541637,Good for Sale
2025-01-29,VIU Premium,1209924.3068771958,Good for Sale
